Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;24008100;2622143,87875898;288,4824;17,22417;11;323,2598;False
2;147685376;18481395,0758044;528,5822;20,62788;11;323,2598;False
3;80308768;14162820,0486538;431,4406;20,76077;11;322,6563;False
4;83316296;21755410,4605469;436,7605;23,09242;11;321,8647;False
5;52252628;19715807,0589581;373,8546;22,30644;11;320,8255;False
6;163667328;33648640,7007812;547;20,69012;11;323,659;True
7;102066912;24171588,4385742;467,335;20,3212;11;324,3765;False
8;150400976;35567062,4308228;531,8023;23,16895;11;322,1973;False
9;82284936;26542001,6023115;434,9508;23,39633;11;325,0881;False
10;151077568;33909287,7273438;532,5986;21,64719;11;322,9725;False
11;163667328;56501780,4602356;547;20,11792;11;321,1859;True
12;80667576;21372588,0219086;432,0822;23,7356;11;324,2892;False
13;104110368;39752807,2942871;470,4332;22,52167;10;316,4202;False
14;80849712;18746213,7000142;432,4071;22,44727;13;329,3215;False
15;151964560;35328655,809375;533,6389;24,81396;11;322,8547;False
16;100420480;25462031,8337175;464,8085;21,72021;11;322,2065;False
17;89224264;23243304,1415201;446,8492;24,11249;12;327,3698;False
18;123064328;41337864,9323356;497,4057;24,61639;12;327,3698;False
19;147275104;47015978,4015625;528,0922;30,43909;11;322,9416;False
20;163667328;41540170,6859375;547;27,12787;12;322,9227;True
21;101962672;35889248,3503937;467,1759;26,11536;12;322,1032;False
22;99979128;33423674,4489662;464,1266;23,60632;12;325,5872;False
23;163667328;44250045,35;547;20,41321;12;325,3363;True
24;102125712;34750078,0648594;467,4247;23,3313;12;325,5236;False
25;121766880;55042829,0875;495,6515;22,61768;11;328,5339;False
26;163667328;47603896,125;547;22,08008;12;325,9126;True
27;163667328;63255647,725;547;20,17627;10;324,1024;True
28;163667328;32551259,4362749;547;21,69226;10;328,4871;True
29;151270512;41558022,9093754;532,8252;27,59607;11;330,193;False
30;148873344;30922054,8882812;529,9957;22,20703;10;327,5616;False
