Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;16430877638656;2191310579985,7;529,5782;23,39086;13;388,3889;False
2;16159369854976;3956723002365,26;525,6533;25,64932;13;388,158;False
3;14414718697472;2273901945382,4;495,718;22,06705;13;388,5488;False
4;17536413335552;4540859081838,42;547;21,25464;13;388,4383;True
5;17538397241344;6973709203865,6;547;24,35097;13;388,4529;True
6;16491239964672;5914776647680;530,4189;29,43489;13;388,4529;False
7;17456115482624;4740648777830,4;547;23,68988;13;387,8445;True
8;17758184013824;8266239175347,2;547;21,9903;13;390,0689;True
9;16440411291648;6674078709964,8;530,8358;26,9184;13;387,8503;False
10;16413391585280;5833056439500,8;528,8629;25,8465;13;388,6011;False
11;11108344659968;4782083294822,4;435,5768;23,28784;13;388,3053;False
12;17641773203456;6415383392281,6;547;23,08209;13;389,2147;True
13;14394444480512;5688535877303,39;494,0984;21,01093;13;389,2148;False
14;17641773203456;7396894674057,78;547;23,15125;13;389,2147;True
15;16431893708800;5668124200140,8;528,2074;25,38318;13;389,0686;False
16;17980614246400;8194918707441,45;547;22,86218;13;391,6907;True
17;17648574267392;6507448551424;547;26,33032;13;389,2647;True
18;17858576777216;6922397194240;547;23,36475;13;390,8026;True
19;23611993751552;6491424471299,2;628,9775;23,94202;13;390,7996;False
20;17733066424320;6375380946652,49;547;20,88135;12;389,8849;True
21;17978391265280;7491494595788,8;547;20,13159;12;391,6746;True
22;20803856891904;9819884604620,8;583,4622;24,4552;13;393,8881;False
23;17978391265280;7330358390747,29;547;20,32617;12;391,6746;True
24;13391647211520;6632617570428,76;469,0873;27,10693;13;393,3467;False
25;18593045544960;6856782754478,6;547;22,3689;13;396,0883;True
26;18194053988352;6789741040770,61;547;23,50024;13;393,2345;True
27;18194053988352;7690013876224;547;21,15198;13;393,2345;True
28;18662436110336;8578630984128,6;547;23,51978;12;396,5804;True
29;18469292605440;9471878542950,4;547;21,12073;12;395,2075;True
30;18469292605440;9248988984510,4;547;28,94641;12;395,2075;True
