Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;21283,61328125;5513,00380567186;914,9934;39,33604;12;283,3297;False
2;23090,091796875;10348,2845943481;922,4909;36,85518;12;283,3297;False
3;23759,916015625;13575,0339850226;923,6835;35,90884;12;283,3297;False
4;24305,40625;15112,9786347389;917,5735;34,64008;12;281,6848;False
5;23673,353515625;16797,9823303223;921,7195;35,88705;11;281,1046;False
6;24459,142578125;14506,5883352433;1076,177;47,35071;14;292,8874;False
7;24957,658203125;14465,0035394043;925,1163;34,29169;14;292,8874;False
8;24606,99609375;13326,0050347328;1198,282;58,35254;13;289,8173;False
9;21903,37109375;13763,8338406681;942,1976;40,52966;12;283,4463;False
10;22209,44140625;14927,5083889298;1086,231;53,12598;11;279,954;False
11;24342,322265625;16439,0994792461;920,1474;34,78186;12;283,6315;False
12;23618,103515625;14563,8752478123;907,7055;34,8855;13;289,4033;False
13;23729,42578125;15229,3955864673;926,1666;36,14856;14;292,1817;False
14;25846,146484375;17876,200737251;1622,565;101,8611;12;296,6575;False
15;23856,916015625;20303,5440965652;912,9388;34,93567;11;275,6014;False
16;34703,83203125;20311,291091913;1750;123,9686;12;297,4635;True
17;25161,5390625;14822,7132082939;1326,2;69,90063;13;289,7531;False
18;22817,7421875;15177,8477783203;935,5521;38,35864;13;285,8787;False
19;25840,9375;19666,4052110919;1624,884;102,1731;12;297,3735;False
20;25694,626953125;16701,3610435486;1622,605;102,4668;12;297,3735;False
21;46490,57421875;20628,7605213642;1750;83,92578;13;270,4538;True
22;47644,6875;20819,4881860733;1750;81,35278;13;270,4538;True
23;47442,65234375;18512,2191798694;1750;81,79175;13;270,4538;True
24;46801,35546875;20163,8329486847;1750;83,21704;13;270,4538;True
25;45450,3515625;22256,6531005859;1750;86,38843;13;270,5639;True
26;47049,0703125;20261,9619073629;1750;82,66064;13;269,5414;True
27;45903,29296875;24502,5071486354;1750;85,29858;13;269,7346;True
28;44031,1015625;21984,0556640625;1750;89,99121;14;271,5618;True
29;47281,73828125;21714,1774567586;1750;82,14478;13;272,3124;True
30;47318,44921875;22372,7568939209;1750;82,06396;13;270,9646;True
