Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;456413856;25787209,4183594;68,57738;19,5;12;402,4109;False
2;1231518208;195288926,844727;84,29732;16,5;12;402,4109;False
3;4358803456;302660864,235547;119,5757;18,83231;12;401,5122;False
4;1650594432;192685844,53916;91,72663;17,27168;12;402,7108;False
5;468843008;140698170,687305;61,10993;12;12;403,4239;False
6;1013668416;123754231,270526;77,71892;14,5202;12;403,4239;False
7;1369100032;276676026,35;81,88976;13,23148;12;402,8331;False
8;1206169856;374844107,756982;79,72195;13,46143;11;401,9648;False
9;3466985984;429748270,503906;95,64464;9,685852;13;401,2799;False
10;3587787776;512206836,40528;100,2212;11,23639;13;399,59;False
11;1694398592;544740245,433933;83,05406;11,22128;13;399,59;False
12;3026154496;516745818,673486;107,0964;17,37091;13;399,59;False
13;3338691840;477152606,967188;106,9767;15,66949;13;399,461;False
14;855392448;225713907,311719;72,50629;12,90015;13;399,2613;False
15;3810811904;339997839,995845;104,9091;12,69092;13;399,2613;False
16;1651553024;343851552,94375;80,76421;10,25665;13;398,1278;False
17;3021993472;360966060,292188;96,75859;11,51917;13;397,1517;False
18;2213866240;764690715,2;96,75069;15,71887;13;397,1517;False
19;15761439744;1079091484,2;153,9736;14,1886;13;397,8783;False
20;3978651136;469526207,690625;119,2563;20,22742;13;397,8783;False
21;1295547136;270887139,575;93,30972;23,25012;13;397,348;False
22;1227356032;368398532,0125;81,57004;14,26074;13;395,3576;False
23;3272545792;657373673,418359;108,9643;17,1629;13;398,4186;False
24;2942655744;415115091,2625;95,70692;11,34552;13;397,9152;False
25;976318528;363023118,13125;77,05573;14,20593;11;393,4064;False
26;2599199488;580831314,9;109,4784;21,71863;11;392,9694;False
27;3000946944;698058690,075;109,3923;18,73682;11;392,6514;False
28;4021932800;702073892,996094;106,8454;12,84106;13;396,2901;False
29;1760776832;495134032,327051;93,65493;17,32727;13;396,5627;False
30;2292459776;645799829,59375;93,3727;13,12988;13;395,9889;False
31;1852077824;513113515,05;94,78564;17,21191;12;394,9283;False
32;1592664448;318887449,428271;84,47343;12,7146;13;397,6917;False
33;3610783744;571712283,125;109,8488;16,03711;13;397,6917;False
34;1523659776;332196391,674272;81,03682;11,2561;13;397,6917;False
35;3073744640;473281093,459033;109,7338;18,72241;13;396,8883;False
36;1816770560;423513352,954243;85,56966;11,71741;13;397,0565;False
37;2724168192;449244497,934375;97,06213;12,93652;13;397,0565;False
38;4118546432;618101233,786719;113,1123;15,81091;13;397,7966;False
39;5174930432;632182064,85;125,4349;18,99561;12;397,085;False
40;8536150016;1205114339,18828;138,9303;17,33044;12;397,085;False
41;1396819712;395660948,867188;79,56408;11,40027;12;397,3629;False
42;2490688768;486250247,549023;97,25906;14,27539;12;397,3629;False
43;2525405696;539527905,275781;97,75169;14,36658;12;397,3629;False
44;7740268544;908896999,373047;150,4436;26,29822;12;397,3629;False
45;3862847488;754170987,653125;105,5447;12,81287;12;398,8492;False
46;4777694208;668301475,194727;122,5117;18,80615;12;398,8492;False
47;3399166208;499158391,573438;114,7045;20,32178;12;399,0357;False
48;7456253440;839743585,516797;151,3286;28,06567;12;399,0357;False
49;3141199360;742134989,475;105,8443;15,94019;12;398,951;False
50;5816476672;841936570,817188;135,8736;23,54639;12;401,831;False
51;4565831680;789251986,76875;110,1702;12,97827;12;402,2352;False
52;1712175232;527520568,3;95,31441;19,19653;12;398,2325;False
53;1867314944;565082729,535938;97,47702;19,5;12;403,3139;False
54;3036769024;408155047,521875;106,9035;17,35669;12;403,5621;False
55;1874581888;333523706,323438;92,62924;15,87549;12;404,2398;False
56;16305854464;1670026820,10078;169,4317;20,3623;12;402,8947;False
57;675524800;246000751,046875;68,27526;12,95996;12;402,8947;False
58;10159399936;949441375,60625;153,5543;22,05859;12;403,0866;False
59;1626881792;387798452,109375;82,28288;11,33691;12;402,3582;False
60;1425685888;376865402,04375;82,22292;12,86377;12;401,2551;False
61;2227938560;349693270,10625;96,80607;15,88989;12;403,101;False
62;2687830784;403166792,190234;98,96969;14,38867;12;403,101;False
63;5520452608;734786645,289063;124,7067;17,57495;11;401,152;False
64;1742754560;539351077,019531;83,65543;11,33105;12;403,2089;False
65;1636640128;515471801,125;82,45714;11,3457;11;401,672;False
66;7964706304;779163976,940625;122,4487;11,38599;12;403,3884;False
67;3858211328;548532149,133398;109,5841;15;11;401,3167;False
68;2080894592;593962588,489453;84,88624;10,00513;11;400,9808;False
69;6152459264;584525054,206445;114,762;11,30493;11;400,9808;False
70;8191638016;1208784697,8;134,3095;15,9585;11;401,7313;False
71;3331640064;788680886,55;101,6622;12,83618;11;400,3655;False
72;3205457920;508503719,426953;110,8088;18,74976;11;398,6469;False
73;3246848768;1065201435,6;98,0324;11,43701;11;402,0648;False
74;3167504896;891138950,494379;97,3199;11,41821;11;403,1891;False
75;4002956032;684319035,573437;106,1524;12,78931;11;403,1891;False
76;4804706816;699658940,15;114,4458;14,40283;11;403,3815;False
77;1782184832;386540156,064062;80,98563;9,736328;11;403,3815;False
78;4650343936;1062632116,50078;110,4592;12,91333;11;403,3815;False
79;1396276864;504155901,301562;81,57587;12,77808;12;402,8935;False
80;3110568960;539581876,9;99,69296;12,80615;11;403,2742;False
81;3171859968;413096583,421484;112,6506;20,30127;12;399,8563;False
82;2444802048;572169743,032812;93,85979;12,83618;12;404,3535;False
83;1375916160;373760762,6;83,40427;14,2644;12;405,5949;False
84;3450904576;566285957,941211;107,7055;15,78198;13;404,7087;False
85;2425348864;679816048,219531;96,12584;14,27026;13;405,3644;False
86;2459375616;493818588,499219;105,4081;20,31055;13;404,6227;False
87;1022200896;387091715,596875;75,28848;12,79565;13;407,0847;False
88;3652846592;704244943,928125;114,094;18,80811;13;405,4388;False
89;3905165824;773716269,723047;108,648;14,4668;13;405,4388;False
90;3520683264;775745255,223438;110,9869;17,4187;12;404,1621;False
91;2791991040;606291885,344531;108,9948;20,3479;13;402,541;False
92;2397445376;683372282,25;100,7773;17,42578;12;405,0321;False
93;1257092480;347641828,35625;79,63412;12,93848;12;404,4395;False
94;933758592;266107129,996875;79,54935;17,35254;12;404,6234;False
95;4368220672;628199058,534375;125,9232;23,29395;13;404,692;False
96;2572852480;382461265,325;95,14577;12,84229;12;403,1802;False
97;2362609920;630253533,063602;92,97259;12,75049;12;403,1802;False
98;2477083392;704346399,084375;91,26844;11,30664;12;403,6377;False
99;3618952448;981662385,234375;120,3155;23,34229;12;403,1247;False
100;3341021184;960860494,4;107,0674;15,90527;13;404,3816;False
101;3510323712;843776405,325;122,952;26,2832;12;403,7233;False
102;2869767168;435107250,75;109,6425;20,32666;12;403,6421;False
103;3666792704;656949908,579687;106,7361;14,32227;13;404,6254;False
104;1928001664;500149273,35;90,78143;14,25391;13;404,6254;False
105;9373758464;953538218,4;138,3531;15,81592;13;404,6254;False
106;4234227456;646872984,475;126,8787;24,75586;13;404,4799;False
107;1265152256;256987219,5;81,74552;14,28125;13;404,6254;False
108;1759619456;477147322,170227;95,04324;18,70898;13;403,4446;False
109;4550083072;663499296,163281;134,9919;29,34619;13;402,1057;False
110;1616278784;431387921,476563;94,84801;20,32422;13;405,8982;False
111;5223048704;929470807,086914;119,2866;15,70996;13;405,2589;False
112;2744259072;648153399,4;96,48295;12,77441;13;404,5422;False
113;5024146432;634824225,95;128,2541;21,76367;13;404,1197;False
114;2821436160;738445222,575195;107,1207;18,85059;13;403,9253;False
115;2733191168;482724331,178125;108,3751;20,26025;13;401,4179;False
116;4289101312;796013153,072852;131,1501;27,77002;13;402,5941;False
117;1711815808;440583324,740625;92,65411;17,26953;13;401,1242;False
118;2794048512;626806110,7;110,5062;21,79004;13;408,2676;False
119;2793751296;374607214,825781;106,948;18,82031;13;401,9054;False
120;2621074944;535128809,6;95,606;12,81348;13;401,9812;False
121;2072496640;474981783,890625;90,77596;13,17188;13;402,0296;False
122;1681102720;361707534,134375;96,15125;20,45752;13;402,3717;False
123;958945216;279694292,083789;76,48616;14,36035;13;402,3717;False
124;3362018304;452756955,813281;111,9563;18,82373;13;402,8207;False
125;1201682816;264599461,270312;82,94722;15,79639;13;400,9962;False
126;1963986688;349136005,704816;96,11708;17,38916;13;400,1426;False
127;3699757824;857874323,9;121,3104;23,36475;13;399,1559;False
128;2206170624;398517676,925;106,5439;23,34424;13;399,6724;False
129;3245055232;658531700,4;111,3158;18,98486;13;401,2381;False
130;3646404096;834740168,91875;120,775;23,34863;13;400,1456;False
131;1703085824;342796915,669922;94,664;18,78418;13;398,3725;False
132;2213878528;380745403,914258;94,57546;14,36572;12;397,5277;False
133;2022388736;529822447,669336;98,54219;18,75977;13;402,3492;False
134;2534053376;614622948,8875;94,77048;12,79395;13;401,9092;False
135;1047826816;289224643,026953;82,19986;17,35645;12;398,3511;False
136;4901419008;623948947,688782;120,739;17,31445;13;399,338;False
137;1798156032;455269683,4375;97,87801;20,38232;13;399,338;False
138;2508929280;554427499,92793;94,6078;12,75146;13;399,338;False
139;1040311488;243070827,48125;76,00802;12,83887;13;400,1773;False
140;3068350720;419616775,263281;109,6293;18,83887;13;400,1773;False
141;2459414784;608998122,48125;96,99667;14,40283;13;400,1773;False
142;1653820416;627828216,8;93,89075;18,78857;13;399,8444;False
143;5178907648;695931887,292969;124,901;18,78955;13;399,8444;False
144;8258450432;1343423180,90625;137,2277;17,30908;13;403,0927;False
145;3951646976;641648552,442188;121,1235;21,85742;13;401,2946;False
146;2247724544;374926709,2375;89,09602;11,30225;13;403,1575;False
147;3582665216;562406046,502344;103,291;12,80908;13;403,1575;False
148;2510480896;424096044,421875;109,738;23,28076;13;403,0192;False
149;1072838912;254043300,735156;78,55058;14,30664;13;403,1575;False
150;1817452288;354400792,668652;97,71893;20,26709;13;403,9611;False
151;1350380800;264656736,175;92,55617;21,97314;13;404,3217;False
152;321145312;134581256,126904;58,00259;14,25;13;404,3217;False
153;1403050240;216307420,06155;83,96827;14,35596;13;405,1768;False
154;1760065792;540452727,554688;89,01616;14,4541;13;405,1768;False
155;1102766080;246163145,528906;80,94105;15,78711;13;405,6119;False
156;1451764736;311355416,149609;93,94572;21,76318;13;405,6119;False
157;2288918016;541124775,274219;107,1384;23,34863;13;405,6119;False
158;1237415936;233894768,331055;78,99053;12,77393;13;406,013;False
159;2553692416;620997714,658984;104,3649;18,97412;13;408,4247;False
160;2701702912;737075785,234961;89,8345;9,781738;13;405,7711;False
161;1146426880;235906520,349219;79,62231;14,27246;13;407,1046;False
162;2690409216;501802739,192187;93,08279;11,34473;13;406,5695;False
163;1095308416;317884807,604297;80,80296;15,83838;13;406,9471;False
164;2200832512;422929289,702773;93,95763;14,3667;13;405,7101;False
165;3857626112;424712364,127344;104,8894;12,78076;13;407,334;False
166;1714599296;354744461,598828;94,45657;18,92188;13;407,5662;False
167;1430163456;271490648,237109;81,98634;12,85986;13;407,0577;False
168;8133236736;892003268,401562;139,327;18,90039;13;407,9366;False
169;752270784;200690534,489453;71,77019;14,43848;13;409,373;False
170;3353720576;526539960,375;109,261;17,22705;13;405,3945;False
171;2605211648;478620287,031641;95,05991;12,78613;13;407,9366;False
172;1467945344;326684772,857422;88,8121;17,28906;13;407,9366;False
173;7602405888;691933801,123389;127,8768;14,35352;13;408,0773;False
174;2646650112;484432503,69043;98,37518;14,34375;13;405,3379;False
175;1936280832;330620041,012891;88,52375;12,87744;12;406,0305;False
176;3414012160;363189726,986133;109,8291;17,27783;12;405,4002;False
177;2560940544;299874218,7125;97,45171;14,24805;12;404,5732;False
178;1237595392;222962089,170312;78,82518;12,74854;13;408,676;False
179;797797376;241369793,534375;69,02888;11,50195;12;404,1485;False
180;1247443072;208611898,879687;77,02337;11,37646;12;403,2162;False
181;1714130048;511381751,095703;96,3515;20,32715;12;404,2838;False
182;2736989184;453234137,196094;97,07948;13,10156;12;403,7258;False
183;2949463552;474483890;101,1347;14,33789;12;404,2288;False
184;3895593984;600851905,509375;113,6044;17,3418;12;405,5905;False
185;3277909760;696975880,85625;103,6228;14,30859;12;406,7922;False
186;1373170048;336842731,133984;87,63195;17,36719;12;404,3933;False
187;1913287296;298052773,61875;97,13474;18,89258;12;406,0439;False
188;2007713664;301619077,48125;96,246;17,40332;12;407,1956;False
189;1316338688;402413726,285156;75,02703;9,814453;12;407,7207;False
190;834414464;297180677,651367;73,60773;14,36621;12;408,3478;False
191;2282002176;447685067,308398;94,88406;14,41895;12;405,9536;False
192;1932833152;519766527,6;88,35249;12,81543;12;406,4924;False
193;1378992000;304269120,387906;85,4409;15,81348;12;409,1907;False
194;4743300096;743775594,137012;110,8012;12,87793;12;405,2738;False
195;5703874560;470468195,913672;130,3531;20,51465;12;405,2738;False
196;2928701440;835503986,867188;103,5068;15,89844;12;405,6529;False
197;1510389888;425640364,800391;80,59064;11,34863;12;406,3444;False
198;3198470400;483962766,575;114,5365;21,81543;12;405,444;False
199;1291344896;277345290,724023;82,18195;14,31445;12;405,239;False
200;2084967424;522835440,35625;93,40528;14,7959;12;405,2797;False
201;1300918016;226952259,100586;82,50711;14,38477;12;403,8194;False
202;1754268800;438279261,728027;89,06416;14,63379;12;407,982;False
203;5840894976;1014447517,67734;125,5199;17,31152;12;407,3474;False
204;3040000768;397415089,446094;113,015;21,86621;12;407,4767;False
205;1953773056;365908319,775397;93,30097;15,77539;12;406,7332;False
206;3582383104;421704361,855859;108,6879;15,84863;12;406,8549;False
207;1355845504;427398404,789063;78,47812;11,33691;12;405,2385;False
208;1310614528;266244725,025488;82,38822;14,36816;12;408,7104;False
209;1045678592;293385479,423828;77,8752;14,35449;12;408,1214;False
210;3356213504;687698794,652734;109,187;17,2832;12;408,1214;False
211;3340930304;773789237,082227;101,137;12,87891;12;411,2499;False
212;2916706560;578618438,479687;97,93038;12,86133;12;407,8578;False
213;1621341696;345095690,943359;86,83227;14,34082;12;409,0006;False
214;3242760448;728571700,99502;110,5464;18,82227;12;408,7031;False
215;2158828032;490161537,676562;97,74259;17,27441;12;408,5884;False
216;1138086272;260570408,853955;81,36498;15,82324;12;410,8852;False
217;779508224;213110317,42168;65,92332;9,863281;12;407,0858;False
218;1798286848;288726731,28623;95,42661;18,82617;12;408,2657;False
219;1395458560;294289850,933691;87,78091;17,37695;12;408,4042;False
220;1688994176;265240888,493359;82,81802;11,32227;12;406,5014;False
221;1311023232;355918577,2625;88,19395;18,84668;12;408,4041;False
222;1105089792;329901656,782715;81,04725;15,77637;12;404,0652;False
223;3140018432;456719267,381445;107,7002;17,2666;11;402,9698;False
224;1277792256;270278004,949219;77,18612;11,28809;11;406,3719;False
225;4442960896;471671309,73125;122,0526;20,31836;12;406,7925;False
226;2931972608;514613501,879687;95,02673;11,31348;12;406,7925;False
227;2893503744;447595284,271875;97,78574;12,80762;12;405,3127;False
228;1510054912;443209757,548633;80,91182;11,50391;12;405,3127;False
229;4389044736;703928684,658203;121,7522;20,36621;12;406,7925;False
230;2228636928;668298742,302148;94,00299;14,27051;12;407,2978;False
231;1345911680;392916431,498242;80,5721;12,8125;12;409,1775;False
232;5322521600;533508803,433008;125,3555;18,76367;12;404,4471;False
233;1118331520;148401460,15459;83,10726;17,43555;12;408,7429;False
234;1477023872;359772409,61875;94,53199;21,82422;12;403,6556;False
235;1921868160;262438072,576953;99,24049;20,38672;12;403,9386;False
236;630745792;123554072,125;64,9176;11,34863;12;403,0399;False
237;1679975680;239299428,371875;83,19168;11,6582;12;408,898;False
238;1487513344;343412847,039063;96,14252;23,26172;12;404,9865;False
239;2247952128;676138886,800043;108,3127;24,85645;12;405,9839;False
240;773189376;174055444,952734;78,93513;20,2998;12;404,2932;False
241;4988785152;585419034,86875;125,6415;20,33594;12;407,1232;False
242;1473341056;224331267,494141;95,81635;23,35156;12;408,1884;False
243;1891430656;424403887,783203;94,82273;17,36816;12;406,3446;False
244;1746523904;359272620,41875;105,9985;29,35938;11;406,1837;False
245;1396923776;366824856,733203;91,56795;20,48145;12;406,9672;False
246;1293636736;327352959,441602;79,96273;12,83691;11;406,1837;False
247;1810699904;498498377,395312;95,86296;18,94434;11;406,1837;False
248;1571057280;303615356,317187;81,3121;11,3623;12;408,3549;False
249;2726435584;788404113,423437;98,87253;14,31348;12;408,3549;False
250;1359831936;390490204;80,82557;12,83105;12;408,8392;False
