Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;2281549594624;199722506763,93;244,1052;17,72036;13;337,0482;False
2;5437971759104;1682045442790,4;375,389;23,08592;13;337,9283;False
3;5310165024768;1941059038182,4;370,9514;24,28931;13;337,9283;False
4;6429985996800;2160898775919,2;409,0838;25,11658;13;337,4389;False
5;5410986655744;2445688354308,66;375,2714;25,10602;13;337,4389;False
6;4619190665216;2476461944012,8;346,3693;26,68993;13;337,6725;False
7;6335559106560;2275626490523,7;404,5459;21,5531;13;338,2853;False
8;7218051678208;2927719389593,6;433,6699;24,24292;13;337,3136;False
9;7551647219712;3238436864000;435,1185;21,07034;13;341,6716;False
10;9750060204032;2873039364249,6;498,0492;21,78378;11;340,0068;False
11;6549557215232;2488030502912;404,1035;22,16782;13;342,3016;False
12;7567693578240;2839882186561,2;434,3786;25,80267;13;342,3016;False
13;6342588235776;2296783393375,98;408,7112;20,25079;12;336,1072;False
14;8674919579648;3441627114700,8;465,9637;21,60583;12;341,8643;False
15;9059887480832;3283835395276,8;466,326;25,49957;13;346,6686;False
16;6890641686528;3544056856844,8;429,8185;25,97736;11;334,1154;False
17;12293291114496;3463296339148,8;547;19,72662;12;345,0626;True
18;11478412296192;4734962312806,4;547;23,46301;12;337,2633;True
19;11097101828096;4916109370982,4;547;22,91144;11;333,4865;True
20;12574291656704;4313344367261,06;576,2322;25,29199;12;335,812;False
21;11509402959872;4791847147929,6;547;20,38293;12;337,5665;True
22;11745353531392;3330488197334,4;547;20,97852;11;339,8577;True
23;11649363738624;5666273289830,4;547;20,96136;14;338,9294;True
24;11459987767296;4306828131722,93;547;20,203;12;337,0827;True
25;9391599255552;4000066761830,4;495,3135;28,91858;12;337,0232;False
26;11554510602240;3820570265336,7;547;22,79675;13;338,007;True
27;13843477561344;5809433116672;613,295;23,53552;11;332,6357;False
28;14653064216576;4824383305395,2;630,9734;23,22522;11;332,6357;False
29;10277198233600;4388344701849,6;528,2089;21,70984;11;332,7268;False
30;11005624057856;4856060154876;547;26,51672;12;332,5677;True
