Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;23102,755859375;5051,05823294967;923,3274;36,90181;12;355,9729;False
2;24224,30859375;14144,0275991554;922,7637;35,15034;12;356,0225;False
3;24060,431640625;17155,5212487347;922,8912;35,39954;12;355,0319;False
4;24071,546875;14898,1000296131;927,3568;35,72644;12;342,4241;False
5;24017,673828125;14105,047476238;920,6221;35,28839;12;355,5252;False
6;25005,375;16936,2125858784;1056,173;44,61047;12;355,9001;False
7;24257,337890625;17974,4691122651;920,8386;34,95618;12;356,1186;False
8;25584,21484375;18376,9747779369;925,9492;33,51215;12;355,9001;False
9;25875,302734375;18576,5630459964;920,5418;32,74927;12;356,1186;False
10;25009,923828125;18583,1988578677;923,517;34,10181;12;355,2332;False
11;24897,12109375;16493,2380219638;1059,732;45,10693;12;357,5662;False
12;24611,568359375;18944,7251342773;917,8232;34,22778;12;358,303;False
13;25698,908203125;17298,410925293;1053,494;43,18665;12;358,303;False
14;25228,87890625;19662,8792535782;1056,814;44,26892;12;358,303;False
15;24378,595703125;17761,5681570403;935,6204;35,90796;12;357,8859;False
16;24329,837890625;15731,5241748217;919,4399;34,74622;12;357,8751;False
