Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;14799183;1722402,31993132;61,57945;13,5;13;300,2084;False
2;26135860;5614263,74056932;81,83429;15,84505;13;300,2084;False
3;23193054;5978928,48359375;77,46071;14,47427;13;297,3388;False
4;23835742;6629017,55742188;78,64246;14,65224;13;296,4635;False
5;26025362;7771581,3921875;82,05421;16,1013;13;297,3388;False
6;58802880;9357633,859375;123,3394;26,39766;13;297,3388;False
7;16942428;6725572,0171875;66,19557;12;13;297,4229;False
8;17140018;5830623,4765625;66,61446;16,33273;13;297,1194;False
9;24345510;8176495,29453125;82,42537;17,39346;12;298,6179;False
10;39147904;9683662,8578125;100,6307;26,2905;13;297,3747;False
11;26637418;9279941,290625;83,48777;20,25085;13;293,97;False
12;25728328;8419845,89375;84,69753;18;12;298,8745;False
13;42290228;10055198,9796875;108,6684;18,91913;12;298,4366;False
14;81480920;14277390,9340396;150,5041;22,5;12;299,763;False
15;33705416;12332852,0121094;93,01328;23,34985;13;299,686;False
16;45861340;12309243,7945313;108,4972;20,35748;13;299,686;False
17;36723724;9866947,2;96,93288;19,5;13;300,6499;False
18;34251568;11581897,7726563;93,74924;20,51141;13;299,7792;False
19;48279884;11872113,9265625;111,133;19,5;13;300,7024;False
